org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status,contributers,top,major,minor
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/tweaks/manifests/windows_network_opt_registry.pp,1,0,0,0,0,107,46,0,0,0,211,3,1,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/users/manifests/people.pp,1,1,0,0,3,1,0,0,0,0,25,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/users/manifests/signer/account.pp,2,1,1,1,3,38,26,1,1,1,121,3,1,4,0.6666666666666666,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/users/manifests/syncbld.pp,1,1,2,1,4,14,8,0,2,2,47,5,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/vmwaretools/manifests/params.pp,0,0,0,0,0,3,4,0,0,0,53,18,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/web_proxy/manifests/gui.pp,1,1,0,1,2,8,3,1,1,1,26,3,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/windows_firewall/manifests/exception.pp,0,0,0,2,3,20,24,1,0,0,130,46,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/windowsutils/manifests/startup_tasks.pp,1,0,0,0,1,8,2,2,0,0,23,3,1,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/acl/tests/hiera.pp,0,2,0,2,2,20,14,0,0,0,65,10,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/aws_manager/manifests/settings.pp,1,0,0,0,1,2,0,0,0,0,19,3,0,4,0.4,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/bmm/manifests/httpd.pp,1,1,0,4,5,15,3,0,0,0,43,3,0,3,0.7272727272727273,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/bors/manifests/status.pp,1,1,0,1,1,20,9,0,5,5,33,3,1,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/bouncer_check/manifests/init.pp,1,0,2,0,4,5,2,0,0,0,25,3,0,4,0.4444444444444444,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/buildbot_bridge/manifests/services.pp,0,0,3,0,7,15,1,4,0,0,37,7,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/buildmaster/manifests/buildbot_master/simple.pp,1,1,4,1,13,36,12,0,6,6,97,10,0,4,0.5,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/buildmaster/manifests/release_runner_access.pp,1,0,0,0,0,0,0,0,0,0,11,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/buildslave/manifests/init.pp,3,0,0,0,0,0,0,0,0,0,26,10,0,2,0.8333333333333334,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/buildslave/manifests/install/version.pp,1,2,1,3,5,12,2,0,0,0,85,8,0,6,0.3684210526315789,6,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/buildslave/manifests/startup/windows.pp,3,3,2,0,5,6,3,1,0,0,44,3,0,4,0.5714285714285714,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/collectd/manifests/profiles.pp,1,0,0,0,14,3,1,0,0,0,61,3,1,3,0.7142857142857143,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/deploystudio/manifests/init.pp,1,0,0,0,1,0,0,0,0,0,6,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/dirs/manifests/builds/logs.pp,1,2,0,2,5,5,2,0,1,1,26,3,0,5,0.3333333333333333,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/dirs/manifests/builds/slave.pp,1,1,0,2,4,5,1,0,1,1,28,3,0,4,0.5714285714285714,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/dirs/manifests/builds/tooltool_cache.pp,1,2,0,2,4,5,1,0,1,1,25,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/dirs/manifests/etc.pp,1,1,0,1,1,1,2,0,0,0,20,3,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/dirs/manifests/installersource/puppetagain_pub_build_mozilla_org/zips.pp,1,1,0,1,2,1,0,0,0,0,10,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/disableservices/manifests/disableupdates.pp,1,0,0,0,0,15,10,0,0,0,34,5,1,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/disableservices/manifests/displaymanager.pp,1,0,0,1,1,2,0,0,0,0,24,3,1,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/disableservices/manifests/release_upgrader.pp,2,0,0,0,0,1,1,0,0,0,18,3,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/firewall/manifests/init.pp,0,0,0,1,1,1,0,0,0,0,36,13,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/foopy/manifests/init.pp,1,0,2,8,32,31,7,0,2,2,96,3,1,7,0.5,4,3
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/fw/manifests/windows_settings.pp,2,0,0,0,0,2,0,2,0,0,19,4,1,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/instance_metadata/manifests/disable.pp,0,1,0,4,4,5,0,0,0,0,15,0,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/jacuzzi_metadata/manifests/init.pp,1,2,5,0,6,19,10,2,2,2,57,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/kernelmodule/manifests/rc_modules.pp,0,1,0,1,1,2,1,0,1,1,7,0,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/mercurial/manifests/repo.pp,1,0,1,0,2,6,1,1,0,0,25,3,0,3,0.6,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/mozpool/manifests/daemon.pp,1,1,1,0,5,6,2,1,0,0,27,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/mozpool/manifests/dbcron.pp,1,3,1,1,4,6,4,0,1,1,31,3,1,1,1.0,1,0
